ID,Sentiment
1233440379275481088,NEGATIVE
1233430451584323584,NEUTRAL
1233431550752174080,NEUTRAL
1233426013528391680,NEUTRAL
1233440164254568448,NEUTRAL
1233440564886024192,NEGATIVE
1233441969029992448,NEUTRAL
1233424576178278400,NEUTRAL
1233455239958757376,MIXED
1233441879825371136,NEUTRAL
1233422179800375296,NEUTRAL
1233443253598461952,NEUTRAL
1233425951809294336,NEGATIVE
1233426038555676672,NEUTRAL
1233437288102846464,NEGATIVE
1233441890554433536,NEUTRAL
1233454988019535872,NEGATIVE
1233441310679265280,POSITIVE
1233453228668309504,NEUTRAL
1233431910690566144,NEGATIVE
1233443085159424000,NEUTRAL
1233450307818008576,NEUTRAL
1233432519086919680,NEUTRAL
1233425689900130304,NEGATIVE
1233430892669915136,NEUTRAL
1233443146899640320,NEGATIVE
1233437447578701824,NEUTRAL
1233442942305607680,NEUTRAL
1233439721797423104,NEGATIVE
1233444062788714496,NEUTRAL
1233441403797155840,NEGATIVE
1233441545711497216,POSITIVE
1233439792513286144,NEGATIVE
1233442297079107584,NEUTRAL
1233423213432131584,NEUTRAL
1233440920407879680,NEGATIVE
1233437452259536896,POSITIVE
1233442112525369344,NEUTRAL
1233442477245333504,NEGATIVE
1233422671272194048,NEGATIVE
1233431063801868288,NEUTRAL
1233442921875111936,NEUTRAL
1233452543595798528,NEGATIVE
1233425604906815488,NEUTRAL
1233424862191984640,NEGATIVE
1233450645832814592,NEUTRAL
1233451159370846208,NEGATIVE
1233455251983863808,NEUTRAL
1233432003401453568,NEGATIVE
1233430069214879744,NEUTRAL
1233443305108787200,NEUTRAL
1233441810359496704,NEGATIVE
1233430669721833472,NEUTRAL
1233442028647829504,NEGATIVE
1233442644346441728,NEGATIVE
1233452366839439360,NEGATIVE
1233431639491055616,POSITIVE
1233424856299036672,NEUTRAL
1233442733106368512,NEGATIVE
1233432226219646976,MIXED
1233442162617925632,NEUTRAL
1233430043679809536,POSITIVE
1233468485138776064,NEGATIVE
1233419068620845056,NEGATIVE
1233429915288166400,NEGATIVE
1233433021782454272,NEGATIVE
1233428613778702336,NEUTRAL
1233428396807507968,NEUTRAL
1233427870669770752,NEGATIVE
1233430163389464576,NEGATIVE
1233416899880476672,NEGATIVE
1233418536221106176,NEUTRAL
1233429159180894208,NEUTRAL
1233426879299887104,NEGATIVE
1233430863242760192,NEUTRAL
1233432050788634624,NEUTRAL
1233428547068452864,NEGATIVE
1233432523386114048,NEUTRAL
1233432531787112448,NEGATIVE
1233427042768695296,NEUTRAL
1233431828222050304,NEUTRAL
1233427879930843136,NEUTRAL
1233428454302986240,POSITIVE
1233466073032294400,NEGATIVE
1233464856503865344,NEGATIVE
1233417466333794304,NEUTRAL
1233432288664457216,NEGATIVE
1233426862191390720,NEGATIVE
1233469182664048640,NEGATIVE
1233418702546186240,POSITIVE
1233427838432210944,NEUTRAL
1233427931684384768,POSITIVE
1233431395197997056,NEGATIVE
1233432906141401088,NEUTRAL
1233467735868428288,NEGATIVE
1233428934261460992,NEUTRAL
1233430898919510016,NEUTRAL
1233431009712058368,NEUTRAL
1233467872690700288,NEGATIVE
1233432330313834496,NEGATIVE
1233418074440830976,POSITIVE
1233430774864633856,NEUTRAL
1233418745776877568,NEGATIVE
1233430576511823872,NEGATIVE
1233432140894871552,NEUTRAL
1233431848988139520,NEUTRAL
1233466027780067328,NEUTRAL
1233469220073213952,NEUTRAL
1233418754845028352,NEGATIVE
1233418707784863744,NEUTRAL
1233427411523506176,NEUTRAL
1233430149959385088,NEGATIVE
1233431373542649856,NEGATIVE
1233427540523573248,NEGATIVE
1233417550857412608,POSITIVE
1233419076074123264,NEUTRAL
1233467747528560640,NEUTRAL
1233428853906984960,NEUTRAL
1233419543051198464,NEGATIVE
1233428086538035200,NEUTRAL
1233432335938289664,NEUTRAL
1233428340838748160,NEGATIVE
1233416677154529280,NEUTRAL
1233467904622026752,NEUTRAL
1233430024080052224,NEGATIVE
1233417659737309184,NEUTRAL
1233432221220048896,NEUTRAL
1233427460731162624,NEGATIVE
1233430234080403456,NEGATIVE
1233467856463024128,NEUTRAL
1233427964634836992,NEUTRAL
1233429298196963328,POSITIVE
1233432796489822208,NEUTRAL
1233467508545462272,NEUTRAL
1233461817306943488,NEGATIVE
1233456510048407552,POSITIVE
1233465038184251392,POSITIVE
1233463532068462592,NEUTRAL
1233466618795167744,NEUTRAL
1233459376091992064,NEUTRAL
1233467621040934912,NEUTRAL
